Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Licensed,official_video,Artist_Length,Album_Length,Title_Length,Description_Length
album,0.827,0.571,11.0,-7.949,0.366,0.0195,0.0,0.166,0.62,142.034,146419.0,11408003.0,0.0,1.0,17,23,48,154
single,0.89,0.46,2.0,-8.155,0.0359,0.432,0.0,0.11,0.677,112.555,176078.0,2672481.0,1.0,1.0,17,17,17,384
album,0.894,0.404,9.0,-5.913,0.13,0.453,1.57e-06,0.0801,0.759,102.009,236507.0,59095041.0,1.0,1.0,17,30,49,892
single,0.351,0.296,4.0,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,1721382178.0,1.0,1.0,6,20,30,559
single,0.912,0.774,0.0,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,155589.0,25212794.0,1.0,1.0,6,4,42,797
single,0.52,0.761,4.0,-3.093,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823.0,129183587.0,0.0,1.0,6,7,54,2620
album,0.799,0.539,1.0,-6.351,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547.0,886349984.0,1.0,1.0,6,13,44,889
album,0.632,0.686,6.0,-7.665,0.243,0.549,0.0,0.2,0.329,89.949,170770.0,632400004.0,0.0,1.0,6,20,57,398
album,0.596,0.552,0.0,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949,229320.0,860718114.0,1.0,1.0,6,7,32,805
album,0.736,0.449,1.0,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,219080.0,544666810.0,1.0,1.0,6,13,34,889
album,0.83,0.585,1.0,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600.0,1381628.0,1.0,1.0,6,13,37,1024
album,0.64,0.647,5.0,-8.114,0.186,0.124,0.0,0.0801,0.546,92.979,197867.0,353454004.0,1.0,1.0,6,27,67,2056
single,0.708,0.648,6.0,-5.626,0.0449,0.0956,0.0,0.134,0.338,143.955,201707.0,243497172.0,1.0,1.0,6,24,45,805
single,0.778,0.632,2.0,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,218289.0,252068988.0,1.0,1.0,7,37,34,403
single,0.873,0.695,0.0,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,158805.0,189132077.0,1.0,1.0,7,9,43,2164
single,0.695,0.636,5.0,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,172235.0,460717876.0,1.0,1.0,7,11,54,2901
album,0.778,0.824,10.0,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,218093.0,1214508056.0,1.0,1.0,7,40,60,1785
compilation,0.758,0.871,2.0,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,202627.0,3463816330.0,1.0,1.0,7,49,83,1137
album,0.831,0.868,11.0,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,194438.0,144690551.0,1.0,1.0,7,9,79,553
album,0.687,0.361,10.0,-11.589,0.0792,0.35,1.11e-05,0.11,0.526,165.747,173133.0,151765834.0,1.0,1.0,7,21,42,1196
album,0.852,0.773,8.0,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,195840.0,2805793003.0,1.0,1.0,7,9,46,724
album,0.595,0.461,6.0,-7.786,0.0641,0.269,0.000149,0.123,0.338,91.976,192867.0,135287306.0,1.0,1.0,7,24,40,2903
album,0.839,0.403,0.0,-11.059,0.0308,0.5,1.81e-06,0.0786,0.575,97.967,254240.0,359765.0,0.0,0.0,7,14,35,386
album,0.731,0.675,5.0,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,139461.0,102439463.0,1.0,1.0,17,22,76,841
album,0.628,0.744,7.0,-4.718,0.0379,0.0257,0.0,0.313,0.277,119.921,169397.0,111974897.0,1.0,1.0,17,12,59,514
album,0.601,0.92,5.0,-4.802,0.0505,0.000735,0.0,0.0998,0.537,88.014,170134.0,20170299.0,1.0,1.0,17,18,75,2578
single,0.653,0.718,3.0,-5.232,0.213,0.00413,0.0,0.0537,0.216,82.034,202805.0,206242355.0,1.0,1.0,17,82,94,4711
